,Name,Span,Mat,Inns,Runs,HS,Ave,50,100
0,C Hill,1896-1912,49,89,3412,191,39.21,19,7
0,Ijaz Ahmed,1987-2001,60,92,3315,211,37.67,12,12
0,FE Woolley,1909-1934,64,98,3283,154,36.07,23,5
0,KWR Fletcher,1968-1982,59,96,3272,216,39.9,19,7
0,ND McKenzie,2000-2009,58,94,3253,226,37.39,16,5
0,CC Hunte,1958-1967,44,78,3245,260,45.06,13,8
0,VL Manjrekar,1951-1965,55,92,3208,189*,39.12,15,7
0,NS Sidhu,1983-1999,51,78,3202,201,42.13,15,9
0,HA Gomes,1976-1987,60,91,3171,143,39.63,13,9
0,VT Trumper,1899-1912,48,89,3163,214*,39.04,13,8
0,CD McMillan,1997-2005,55,91,3116,142,38.46,19,6
0,CC McDonald,1952-1961,47,83,3107,170,39.32,17,5
0,BF Butcher,1958-1969,44,78,3104,209*,43.11,16,7
0,AL Hassett,1938-1953,43,69,3073,198*,46.56,11,10
0,CG Borde,1958-1969,55,97,3061,177*,35.59,18,5
0,JC Adams,1992-2001,54,90,3012,208*,41.26,14,6
0,BKG Mendis,2015-2020,44,85,2995,196,36.97,11,7
0,Saeed Ahmed,1958-1973,41,78,2991,172,40.41,16,5
0,GM Turner,1969-1983,41,73,2991,259,44.64,14,7
0,Taufeeq Umar,2001-2014,44,83,2963,236,37.98,14,7
0,AD Nourse,1935-1951,34,62,2960,231,53.81,14,9
0,KR Miller,1946-1956,55,87,2958,147,36.97,13,7
0,HW Taylor,1912-1932,42,76,2936,176,40.77,17,7
0,Q de Kock,2014-2020,47,80,2934,129*,39.12,21,5
0,AH Jones,1987-1995,39,74,2922,186,44.27,11,7
0,UT Khawaja,2011-2019,44,77,2887,174,40.66,14,8
0,WW Armstrong,1902-1921,50,84,2863,159*,38.68,8,6
0,Mominul Haque,2013-2020,40,74,2860,181,40.85,13,9
0,Aamer Sohail,1992-2000,47,83,2823,205,35.28,13,5
0,Wasim Raja,1973-1985,57,92,2821,125,36.16,18,4
0,KR Stackpole,1966-1974,43,80,2807,207,37.42,14,7
0,KC Wessels,1982-1994,40,71,2788,179,41.0,15,6
0,NCL O'Neill,1958-1965,42,69,2779,181,45.55,15,6
0,MH Richardson,2000-2004,38,65,2776,145,44.77,19,4
0,M Leyland,1928-1938,41,65,2764,187,46.06,10,9
0,GN Yallop,1976-1984,39,70,2756,268,41.13,9,8
0,SJ McCabe,1930-1938,39,62,2748,232,48.21,13,6
0,B Sutcliffe,1947-1965,42,76,2727,230*,40.1,15,5
0,Mohsin Khan,1978-1986,48,79,2709,200,37.1,9,7
0,Shoaib Mohammad,1983-1995,45,68,2705,203*,44.34,13,7
0,JV Coney,1974-1987,52,85,2668,174*,37.57,16,3
0,Sarfaraz Ahmed,2010-2019,49,86,2657,112,36.39,18,3
0,JA Rudolph,2003-2012,48,83,2622,222*,35.43,11,6
0,Sadiq Mohammad,1969-1981,41,74,2579,166,35.81,10,5
0,C Washbrook,1937-1956,37,66,2569,195,42.81,12,6
0,JN Rhodes,1992-2000,52,80,2532,117,35.66,17,3
0,SM Nurse,1960-1969,29,54,2523,258,47.6,10,6
