,time,survival,lower,upper,Name
42,59.0,0.2749462011536068,0.2053489099981768,0.3532821023421754,PA de Silva
43,63.0,0.2611988910959264,0.19294005342761925,0.33880287441496226,PA de Silva
44,65.0,0.25432523606708624,0.18677099752696505,0.3315290927902401,PA de Silva
45,67.0,0.2474515810382461,0.1806262844117,0.3242318120357066,PA de Silva
46,69.0,0.2405779260094059,0.17450654157266796,0.31691043971861305,PA de Silva
47,72.0,0.23370427098056576,0.1684124468542907,0.3095643373164661,PA de Silva
48,73.0,0.2199569609228854,0.1563041949846627,0.2947951308569504,PA de Silva
49,76.0,0.1993359958363649,0.13835462275742044,0.2724366944580651,PA de Silva
50,78.0,0.19246234080752475,0.1324321844479343,0.2649255864390858,PA de Silva
51,79.0,0.1787150307498444,0.12068559004268667,0.2498093003369096,PA de Silva
52,81.0,0.17184137572100425,0.11486423109097085,0.24220154413613604,PA de Silva
53,83.0,0.16496772069216406,0.10907960179825618,0.23455878072722106,PA de Silva
54,86.0,0.1580940656633239,0.10333349076214547,0.22687937493289376,PA de Silva
55,89.0,0.15122041063448374,0.09762788538489532,0.21916151653492244,PA de Silva
56,94.0,0.14434675560564358,0.09196500331395001,0.21140319362942608,PA de Silva
57,97.0,0.1374731005768034,0.0863473306759442,0.2036021604428996,PA de Silva
58,104.0,0.1374731005768034,0.08600484391694099,0.2036021604428996,PA de Silva
59,106.0,0.12300224788450832,0.07426325893249931,0.18724234830925368,PA de Silva
60,107.0,0.11576682153836075,0.06849000094716455,0.17897185259349735,PA de Silva
61,111.0,0.11576682153836075,0.06804334000991667,0.17897185259349735,PA de Silva
62,113.0,0.10804903343580337,0.061914255165709725,0.17024340606905566,PA de Silva
63,121.0,0.10033124533324601,0.05588342605634111,0.16142528555895494,PA de Silva
64,123.0,0.09261345723068863,0.049959754550835685,0.15250986911390896,PA de Silva
65,124.0,0.08489566912813122,0.04415405497834299,0.14348800305510412,PA de Silva
66,127.0,0.07717788102557385,0.03847966609434497,0.13434854483922687,PA de Silva
67,128.0,0.06946009292301647,0.03295334324166151,0.12507771083593655,PA de Silva
68,139.0,0.06946009292301647,0.032168977931926405,0.12507771083593655,PA de Silva
69,144.0,0.06946009292301647,0.031155579064035432,0.12507771083593655,PA de Silva
70,147.0,0.0595372225054427,0.02422782410951737,0.11408672616372162,PA de Silva
71,149.0,0.049614352087868914,0.017764965572345758,0.1027025857149021,PA de Silva
72,153.0,0.03969148167029513,0.011872701505341556,0.09085110559908384,PA de Silva
73,168.0,0.02976861125272135,0.006726009504751804,0.07841529598551568,PA de Silva
74,169.0,0.01984574083514757,0.0026463625815404236,0.06519289280355522,PA de Silva
75,207.0,0.009922870417573785,0.00028702226927186485,0.05077455020360056,PA de Silva
76,268.0,0.0,0.0,0.03401827986378548,PA de Silva
