,time,survival,lower,upper
0,0,1.0,0.9311735113464279,1.0
1,1,0.934210526315789,0.9023957193350709,0.9371527158276629
2,2,0.9059578896704301,0.8791889703707929,0.9094314090264229
3,3,0.8831025311447759,0.8616362395801,0.8869324082362209
4,4,0.8657838487583491,0.836331145637965,0.8698515222565291
5,5,0.8407774962816159,0.813382605117934,0.8451493098500408
6,6,0.8180670129337471,0.794199506175415,0.8226817905486441
7,7,0.799062367876425,0.7765980238451031,0.8038596748844251
8,8,0.7816101476731959,0.7570401352426741,0.786560466368488
9,9,0.762203245502132,0.7405935339265899,0.7673087232884158
10,10,0.745872483978399,0.723634125451465,0.7510973060002959
11,11,0.7290226120497121,0.706735109175178,0.7343605939955009
12,12,0.712223279662142,0.690932780035214,0.7176645706592579
13,13,0.6965060360340122,0.674387077498122,0.7020357975860761
14,14,0.680041433704781,0.6601551842454311,0.685655827668152
15,15,0.665873108220169,0.6458267359762371,0.67155411205754
16,16,0.651603032416313,0.631635744086772,0.6573454874510191
17,17,0.6374644037580971,0.617660519101916,0.6432622799300981
18,18,0.623535578226032,0.604128719797481,0.62938285951703
19,19,0.6100439626448871,0.590502137719999,0.615934345327147
20,20,0.5964532072764019,0.578247786674024,0.6023823575604661
21,21,0.584227169985318,0.5680709377763579,0.5901872969952111
22,22,0.574071062793426,0.557180511789515,0.580054116867282
23,23,0.5632001167293411,0.545886077685467,0.569205003235091
24,24,0.5519229383100029,0.534763607792001,0.5579475074733959
25,25,0.5408145667155859,0.522615053839586,0.546855658443145
26,26,0.528678039001045,0.5118171596235139,0.534733821276447
27,27,0.517887896295233,0.501668406248405,0.523953790644695
28,28,0.507743941719614,0.49162289576905,0.513816853932287
29,29,0.497700826732934,0.482264688807818,0.503778321983755
30,30,0.48834275124011894,0.472230239398657,0.49442244330208895
31,31,0.4783061629037771,0.46252765123754397,0.484385896057375
32,32,0.4685993498040129,0.452960176433584,0.474676964389345
33,33,0.45902564524689293,0.44463069720372106,0.46509910055810294
34,34,0.45068906312027096,0.434945834260753,0.45675726090407603
35,35,0.44099384664257707,0.426313909487676,0.447053840890266
36,36,0.43235079543624,0.418623221157955,0.43840159818771995
37,37,0.424648678419286,0.410006355879818,0.430689755265802
38,38,0.416017284337515,0.402135787618632,0.4220457810073
39,39,0.408131833227154,0.39516778882630793,0.41414720282800205
40,40,0.40114942333227205,0.38710860774040706,0.407151919402807
41,41,0.39307205256740796,0.379162681301083,0.399058205614406
42,42,0.38510653948584794,0.371523404374161,0.391074896249439
43,43,0.377446917592503,0.36375164589630393,0.38339665681801605
44,44,0.36965290992747396,0.35656894374133297,0.37558216354587
45,45,0.362448220154279,0.348655921457148,0.368357142203166
46,46,0.35450933874774204,0.34246000347711897,0.3603942124658279
47,47,0.348292001523377,0.335289015620364,0.35415687606814794
48,48,0.34109488331219107,0.328592402734209,0.346935285127547
49,49,0.33437260495177,0.322849610951007,0.34018884466902005
50,50,0.328606859972638,0.31580000854627804,0.334401455444368
51,51,0.32152779675173404,0.30962958010218394,0.327294556796587
52,52,0.315330456515079,0.303279809377568,0.321071694729471
53,53,0.30895188400258505,0.29773108936872805,0.314665776828221
54,54,0.303377058976135,0.29151641084118396,0.309066122636497
55,55,0.297132027426247,0.285905977578611,0.302792207142295
56,56,0.29149314562026396,0.28028780574365997,0.297126212143078
57,57,0.285845491688716,0.275438387250775,0.291450387583072
58,58,0.28096983860700603,0.269962909401629,0.286549641789959
59,59,0.275463873005896,0.26484108771208303,0.28101442972416996
60,60,0.27031268611813697,0.26024771418625103,0.275835100692391
61,61,0.265692312210051,0.255222406442247,0.271188746099011
62,62,0.260636679283896,0.24989621463940198,0.26610400026925
63,63,0.255277402986974,0.24505589001585,0.26071290041723
64,64,0.250406177662663,0.239827789515805,0.25581193670060604
65,65,0.245143774803242,0.23437476834427398,0.250516479971096
66,66,0.23965390560006897,0.230002354371863,0.24499110891964898
67,67,0.235251148811091,0.226252301405013,0.24055908122368
68,68,0.231474570123467,0.221727951599482,0.23675683115347199
69,69,0.22691748107043802,0.21778810462541603,0.23216814665397603
70,70,0.222948452343797,0.21426499999334198,0.22817092548434198
71,71,0.219398726361726,0.20941655997182101,0.224595457423132
72,72,0.214512722297409,0.206009255081522,0.21967316658813
73,73,0.21107845818218202,0.20169509957255,0.216212762169707
74,74,0.206729432422002,0.197199696463148,0.211829972852215
75,75,0.20219683889426998,0.19363387256450001,0.20726130709009602
76,76,0.19860088054239,0.18954517442358396,0.203636152220316
77,77,0.194476927831673,0.186262312336147,0.199477960097206
78,78,0.191165198834316,0.18228176349709102,0.196138243985745
79,79,0.18714893980422698,0.178766307946245,0.19208730220318201
80,80,0.18360130017770201,0.175069136929742,0.188508418709219
81,81,0.179869566434253,0.17171328132565805,0.184743133778718
82,82,0.176481612271964,0.16857516312389903,0.18132408451376003
83,83,0.17331286511895097,0.16460369225007998,0.17812559147685997
84,84,0.16930180949183402,0.16180301572770198,0.174076034127531
85,85,0.166472745312336,0.158862224939818,0.171219302377767
86,86,0.16350160148284,0.156270180658455,0.16821867273736302
87,87,0.160882379520449,0.15389289029970402,0.16557298508084697
88,88,0.158479821861681,0.150804842848436,0.16314580906689302
89,89,0.155358384740039,0.14824149393685598,0.159991874200344
90,90,0.15276684424106798,0.145983959073827,0.15737288492288198
91,91,0.150484069832543,0.143371202565236,0.155065573102983
92,92,0.14784164122536403,0.140710615573595,0.15239425036086499
93,93,0.145150349212767,0.138444612060133,0.14967302288776002
94,94,0.142857791823528,0.136664770431103,0.14735458560535
