event_at,removed,observed,censored,entrance,at_risk,Name,hazard,Smooth Haz,Smooth2 Haz
1,1822,1762,60,0,26777,master,0.06580274115845688,0.026860345227349924,0.02647126688387774
2,792,754,38,0,24955,master,0.0302143858946103,0.026919084092061982,0.026350642257249812
3,633,609,24,0,24163,master,0.025203824028473286,0.026825223854246766,0.02617975727009217
4,483,461,22,0,23530,master,0.019592010199745005,0.026834708889030418,0.02597816717221371
5,700,665,35,0,23047,master,0.028854080791426217,0.026856124500221235,0.025780679997172422
6,631,605,26,0,22347,master,0.027072985188168433,0.026529628712285598,0.02553825807968373
7,542,504,38,0,21716,master,0.0232086940504697,0.02613781982108262,0.0252593710996519
8,493,463,30,0,21174,master,0.02186643997355247,0.02624753271840031,0.02497944055352727
9,545,513,32,0,20681,master,0.024805376916009866,0.026073023766305138,0.024695932211424788
10,464,432,32,0,20136,master,0.021454112038140644,0.025623716429529538,0.024392988125587965
11,473,444,29,0,19672,master,0.022570150467669785,0.02333184852359894,0.024088455663249752
12,466,442,24,0,19199,master,0.023022032397520705,0.02282620901030992,0.023770789856292326
13,440,413,27,0,18733,master,0.022046655634441893,0.022417320858709483,0.02345118627892193
14,468,432,36,0,18293,master,0.02361559066309517,0.02238556349529815,0.023126419400954903
15,403,372,31,0,17825,master,0.020869565217391306,0.02192361228000046,0.022791669046409443
16,399,373,26,0,17422,master,0.021409711858569623,0.021557271879616438,0.022466570748339867
17,393,369,24,0,17023,master,0.021676555248781062,0.021516028512662454,0.02216234067346436
18,392,364,28,0,16630,master,0.021888153938665063,0.021438565354299645,0.021846547170078473
19,378,352,26,0,16238,master,0.021677546495873876,0.021163146461162373,0.021528622312717304
20,380,353,27,0,15860,master,0.022257250945775537,0.0210742284429239,0.021230564322844432
21,338,319,19,0,15480,master,0.020607235142118863,0.020883433759870895,0.021043947246581422
22,291,264,27,0,15142,master,0.017434949148064986,0.020752755884209207,0.020874217809346975
23,307,282,25,0,14851,master,0.018988620294929634,0.020664138207656956,0.020733450842419322
24,324,292,32,0,14544,master,0.020077007700770078,0.02049586776385747,0.020597850358404047
25,307,286,21,0,14220,master,0.02011251758087201,0.020352761048963646,0.02048629212850334
26,331,312,19,0,13913,master,0.022425070078343996,0.020357448398447955,0.0203957600045065
27,298,277,21,0,13582,master,0.02039463996465911,0.020247456154068456,0.020299239976668822
28,281,260,21,0,13284,master,0.019572417946401688,0.020032451476442878,0.0202109428887263
29,282,257,25,0,13003,master,0.01976466969160963,0.019960614621944973,0.02013179329034628
30,257,241,16,0,12721,master,0.018945051489662763,0.01978612407460177,0.020059788336956583
31,285,256,29,0,12464,master,0.02053915275994865,0.01960134970285536,0.019999912567391427
32,278,248,30,0,12179,master,0.02036291977994909,0.01974274848708411,0.01993776208376775
33,276,243,33,0,11901,master,0.020418452230904965,0.019809154299007897,0.019883514106210042
34,229,211,18,0,11625,master,0.018150537634408603,0.019804005911887024,0.01983492701084064
35,266,245,21,0,11396,master,0.0214987714987715,0.019837161523676487,0.019799598140795457
36,233,218,15,0,11130,master,0.01958670260557053,0.019682147983746578,0.019754426922450437
37,214,194,20,0,10897,master,0.01780306506377902,0.019760920683391758,0.019717779398468697
38,230,217,13,0,10683,master,0.020312646260413743,0.019659304091941932,0.019695672627838966
39,217,198,19,0,10453,master,0.018941930546254662,0.01970613432851965,0.0196747187978525
40,197,175,22,0,10236,master,0.017096522078937085,0.019745794138132933,0.019657699832320973
41,212,202,10,0,10039,master,0.020121526048411196,0.019571896695359366,0.019657298416648296
42,217,199,18,0,9827,master,0.020250330721481632,0.019633426634060487,0.019645486110994047
43,209,192,17,0,9610,master,0.019979188345473464,0.019572712951838888,0.01962140271942292
44,212,195,17,0,9401,master,0.02074247420487182,0.019681512518105175,0.019594922702762713
45,190,179,11,0,9189,master,0.019479812819675698,0.01949919524989256,0.019566161838350776
46,213,197,16,0,8999,master,0.021891321257917547,0.019551153198415373,0.01954442308611577
47,168,155,13,0,8786,master,0.017641702708854998,0.01961242283447798,0.019516073091595015
48,191,178,13,0,8618,master,0.020654444186586216,0.01956249185220216,0.01950619423140597
49,188,166,22,0,8427,master,0.01969858787231518,0.019462763729502796,0.01948749022442156
50,158,142,16,0,8239,master,0.01723510134725088,0.019593722805074477,0.01945656929947587
51,191,174,17,0,8081,master,0.02153198861527039,0.019518314679653398,0.019441553316424626
52,174,152,22,0,7890,master,0.01926489226869455,0.019351569859156505,0.019412077902783154
53,175,156,19,0,7716,master,0.02021772939346812,0.019300885595343112,0.019376511753353958
54,153,136,17,0,7541,master,0.018034743402731732,0.019290705099849655,0.019340868068561452
55,165,152,13,0,7388,master,0.02057390362750406,0.01926911169128145,0.019309183621146527
56,148,137,11,0,7223,master,0.018967188148968573,0.01922227078749745,0.01927481254986965
57,153,137,16,0,7075,master,0.019363957597173145,0.019471605748350038,0.01924537280259417
58,131,118,13,0,6922,master,0.01704709621496677,0.019350758195815908,0.019214153970382442
59,156,133,23,0,6791,master,0.019584744514799,0.019158296564164817,0.019198445270997067
60,137,124,13,0,6635,master,0.018688771665410702,0.019286593017385733,0.019168732411896084
61,135,111,24,0,6498,master,0.017082179132040628,0.019073393774872494,0.01914937678874807
62,134,121,13,0,6363,master,0.019016187333019016,0.018896956112684177,0.019143963938116546
63,146,128,18,0,6229,master,0.020549044790496067,0.019004282507047564,0.01914481784995355
64,131,116,15,0,6083,master,0.019069538056879828,0.018897190749009054,0.019141435724371856
65,143,125,18,0,5952,master,0.021001344086021504,0.018898102844154635,0.01913607824760282
66,144,130,14,0,5809,master,0.022379066965054227,0.019053067636243894,0.019139087268572674
67,117,104,13,0,5665,master,0.018358340688437776,0.018969334040179447,0.0191132459575664
68,109,89,20,0,5548,master,0.016041816870944484,0.0191642984411806,0.019092324005217497
69,119,107,12,0,5439,master,0.019672733958448246,0.019029178482155774,0.01908144584496625
70,104,93,11,0,5320,master,0.017481203007518795,0.019150557839841164,0.019050664655808302
71,94,83,11,0,5216,master,0.015912576687116563,0.019248725697157586,0.01903720928928279
72,122,114,8,0,5122,master,0.02225693088637251,0.01931710992024615,0.019035142277909037
73,95,80,15,0,5000,master,0.016,0.019226444713797447,0.01900714169817731
74,113,101,12,0,4905,master,0.020591233435270133,0.019167319632669752,0.018989068601361195
75,122,105,17,0,4792,master,0.02191151919866444,0.01927944218592466,0.018964303761899462
76,92,83,9,0,4670,master,0.017773019271948607,0.018980620839230782,0.01891441076888335
77,112,95,17,0,4578,master,0.020751419833988642,0.01895324110118678,0.018854590751629353
78,84,76,8,0,4466,master,0.01701746529332736,0.018951611519391016,0.01876422050313274
79,107,92,15,0,4382,master,0.020994979461433135,0.018701750423384705,0.018690446060258024
80,91,81,10,0,4275,master,0.018947368421052633,0.01881774181088786,0.01860077164956052
81,94,85,9,0,4184,master,0.02031548757170172,0.018857682896582805,0.018492736683331307
82,78,77,1,0,4090,master,0.01882640586797066,0.018472271492144764,0.01837432672540452
83,78,72,6,0,4012,master,0.01794616151545364,0.018553801909502853,0.018261902034488287
84,102,91,11,0,3934,master,0.023131672597864767,0.018427570894381712,0.018156147660072716
85,76,64,12,0,3832,master,0.016701461377870562,0.01810510076893766,0.018036230550537023
86,71,67,4,0,3756,master,0.017838125665601706,0.01783275371235354,0.01795066702394112
87,67,59,8,0,3685,master,0.016010854816824967,0.017447263719744904,0.017871144208147362
88,62,54,8,0,3618,master,0.014925373134328358,0.01762746406753624,0.017806197395962065
89,77,70,7,0,3556,master,0.01968503937007874,0.0174467440365885,0.01775835360025226
90,64,58,6,0,3479,master,0.016671457315320496,0.017196061338802603,0.01769130866666053
91,53,51,2,0,3415,master,0.01493411420204978,0.017067320719637256,0.017615776827643235
92,64,59,5,0,3362,master,0.01754907792980369,0.017090375586388915,0.01757689671866571
93,67,60,7,0,3298,master,0.018192844147968467,0.017157986518773944,0.01753561601330472
94,56,51,5,0,3231,master,0.015784586815227482,0.0170010171047465,0.017494430108440085
95,47,40,7,0,3175,master,0.012598425196850394,0.017354913833908622,0.01748953768633218
96,46,42,4,0,3128,master,0.013427109974424553,0.017442307601105364,0.017522015252494104
97,64,63,1,0,3082,master,0.020441271901362752,0.01771762208787034,0.017587399239340672
98,57,53,4,0,3018,master,0.01756129887342611,0.017792718304898404,0.017647416216369866
99,51,42,9,0,2961,master,0.014184397163120567,0.017543888072645047,0.017726250046049
100,55,52,3,0,2910,master,0.017869415807560136,0.01742257795525414,0.017832456516050782
101,99,55,44,0,2855,master,0.01926444833625219,0.017733549421571747,0.017958205163703583
102,76,53,23,0,2756,master,0.019230769230769232,0.01776946850764407,0.018083936155530007
103,76,54,22,0,2680,master,0.020149253731343283,0.017645038701953678,0.018202360671968457
104,91,61,30,0,2604,master,0.023425499231950846,0.0180121447488875,0.01833039725928782
105,65,49,16,0,2513,master,0.019498607242339833,0.018449827469430087,0.01842844529927076
106,63,52,11,0,2448,master,0.021241830065359478,0.018689559469829743,0.01852616235626566
107,45,39,6,0,2385,master,0.016352201257861635,0.018767786631090848,0.01859102524992761
108,43,35,8,0,2340,master,0.014957264957264958,0.018944586800492116,0.018640748656826012
109,42,33,9,0,2297,master,0.014366565084893338,0.01921398426883641,0.01871677227240381
110,61,47,14,0,2255,master,0.020842572062084258,0.01945654502504054,0.01880985115287722
111,46,40,6,0,2194,master,0.018231540565177756,0.019479264431090947,0.018870827339025776
112,39,34,5,0,2148,master,0.015828677839851025,0.01940805233110449,0.0189144006879079
113,53,48,5,0,2109,master,0.02275960170697013,0.019433712263814323,0.0189661198096126
114,54,43,11,0,2056,master,0.02091439688715953,0.01921782659358452,0.018981841231239013
115,41,36,5,0,2002,master,0.017982017982017984,0.01929893168400853,0.01896605787247671
116,49,43,6,0,1961,master,0.021927587965323816,0.018950017067447446,0.018927808589673332
117,47,40,7,0,1912,master,0.02092050209205021,0.018737463035968082,0.01885467083415357
118,41,36,5,0,1865,master,0.0193029490616622,0.01898833676862319,0.01876645994633995
119,47,41,6,0,1824,master,0.022478070175438597,0.01919107668424888,0.01867314973498363
120,43,35,8,0,1777,master,0.019696117051209903,0.018892096958394323,0.01857601150352643
121,38,31,7,0,1734,master,0.01787773933102653,0.01859736213640436,0.018486988037411296
