,Name,time,hazard,removed,observed,censored,entrance,at_risk,Smooth Haz,Smooth2 Haz
1,SR Tendulkar,,0.0425531914893617,15.0,14.0,1.0,0.0,329.0,0.025060904732859934,0.02482557059145346
2,SR Tendulkar,,0.03503184713375796,11.0,11.0,0.0,0.0,314.0,0.02529506944611423,0.024736105823495145
3,SR Tendulkar,,0.0165016501650165,5.0,5.0,0.0,0.0,303.0,0.023594301895572326,0.024537588042613773
4,SR Tendulkar,,0.006711409395973154,2.0,2.0,0.0,0.0,298.0,0.023390045767888494,0.024332731055329373
5,SR Tendulkar,,0.02364864864864865,7.0,7.0,0.0,0.0,296.0,0.02407355212370283,0.0242110319984776
6,SR Tendulkar,,0.020761245674740483,6.0,6.0,0.0,0.0,289.0,0.0239165274975469,0.024131530767757176
7,SR Tendulkar,,0.02120141342756184,6.0,6.0,0.0,0.0,283.0,0.02482497182704386,0.024016863360264457
8,SR Tendulkar,,0.02888086642599278,8.0,8.0,0.0,0.0,277.0,0.02647675228489991,0.02389491561900908
9,SR Tendulkar,,0.04460966542750929,12.0,12.0,0.0,0.0,269.0,0.026393790335916326,0.023713339684413522
10,SR Tendulkar,,0.019455252918287938,6.0,5.0,1.0,0.0,257.0,0.02534745707369302,0.023365894513412564
11,SR Tendulkar,,0.02390438247011952,7.0,6.0,1.0,0.0,251.0,0.02364762648248505,0.022992893174695134
12,SR Tendulkar,,0.012295081967213115,4.0,3.0,1.0,0.0,244.0,0.022621952499170272,0.022557549567818205
13,SR Tendulkar,,0.025,6.0,6.0,0.0,0.0,240.0,0.022584469526496277,0.022177661643747605
14,SR Tendulkar,,0.03418803418803419,9.0,8.0,1.0,0.0,234.0,0.0225126897468602,0.021804450390565364
15,SR Tendulkar,,0.017777777777777778,5.0,4.0,1.0,0.0,225.0,0.02240600411385878,0.021350623165660467
16,SR Tendulkar,,0.04090909090909091,10.0,9.0,1.0,0.0,220.0,0.02189487138134118,0.020855814472941672
17,SR Tendulkar,,0.0380952380952381,9.0,8.0,1.0,0.0,210.0,0.0210730386840364,0.020285367731362303
18,SR Tendulkar,,0.014925373134328358,3.0,3.0,0.0,0.0,201.0,0.020144359138256768,0.01957538972512995
19,SR Tendulkar,,0.015151515151515152,3.0,3.0,0.0,0.0,198.0,0.01869361119709599,0.018918371376415305
20,SR Tendulkar,,0.010256410256410256,2.0,2.0,0.0,0.0,195.0,0.01797387929722869,0.018349319354176438
21,SR Tendulkar,,0.015544041450777202,3.0,3.0,0.0,0.0,193.0,0.017023540915452627,0.01787979436757588
22,SR Tendulkar,,0.015789473684210527,3.0,3.0,0.0,0.0,190.0,0.016376431338230885,0.01744070156311751
23,SR Tendulkar,,0.0053475935828877,2.0,1.0,1.0,0.0,187.0,0.016299031957425925,0.01705807328969625
24,SR Tendulkar,,0.021621621621621623,4.0,4.0,0.0,0.0,185.0,0.015450834850509734,0.016766250911323607
25,SR Tendulkar,,0.011049723756906077,2.0,2.0,0.0,0.0,181.0,0.01451516233588985,0.016462441222640505
26,SR Tendulkar,,0.00558659217877095,1.0,1.0,0.0,0.0,179.0,0.013986483737035815,0.016197871628500123
27,SR Tendulkar,,0.011235955056179775,2.0,2.0,0.0,0.0,178.0,0.012987170166485235,0.0160047044181993
28,SR Tendulkar,,0.017045454545454544,3.0,3.0,0.0,0.0,176.0,0.013910441710338083,0.015851629929346307
29,SR Tendulkar,,0.005780346820809248,2.0,1.0,1.0,0.0,173.0,0.014535468651154498,0.01572769326968057
30,SR Tendulkar,,0.005847953216374269,1.0,1.0,0.0,0.0,171.0,0.014726651737074424,0.015670667196935318
31,SR Tendulkar,,0.0,0.0,0.0,0.0,0.0,0.0,0.014279189214461243,0.015647459617368385
32,SR Tendulkar,,0.023529411764705882,4.0,4.0,0.0,0.0,170.0,0.015314532331492343,0.01570409693416446
33,SR Tendulkar,,0.018072289156626505,4.0,3.0,1.0,0.0,166.0,0.016968064557779983,0.015722907485905484
34,SR Tendulkar,,0.0,0.0,0.0,0.0,0.0,0.0,0.01663362002887985,0.015759773528355562
35,SR Tendulkar,,0.030864197530864196,5.0,5.0,0.0,0.0,162.0,0.01686804909267386,0.015916913264486535
36,SR Tendulkar,,0.01910828025477707,3.0,3.0,0.0,0.0,157.0,0.01740286168832081,0.016065409817491775
37,SR Tendulkar,,0.032467532467532464,6.0,5.0,1.0,0.0,154.0,0.017235943850049888,0.016289118018304245
38,SR Tendulkar,,0.02702702702702703,4.0,4.0,0.0,0.0,148.0,0.01633881466344702,0.016426072471150816
39,SR Tendulkar,,0.013888888888888888,2.0,2.0,0.0,0.0,144.0,0.016890383915068953,0.016481645402172652
40,SR Tendulkar,,0.007042253521126761,1.0,1.0,0.0,0.0,142.0,0.016582596903680833,0.016515576699794796
41,SR Tendulkar,,0.03546099290780142,5.0,5.0,0.0,0.0,141.0,0.017452540357356345,0.016553551029019495
42,SR Tendulkar,,0.03676470588235294,5.0,5.0,0.0,0.0,136.0,0.0166564324405054,0.016465961395466456
43,SR Tendulkar,,0.015267175572519083,2.0,2.0,0.0,0.0,131.0,0.016151289657061182,0.016189502459470703
44,SR Tendulkar,,0.015503875968992248,2.0,2.0,0.0,0.0,129.0,0.01750081732237832,0.01597145701509984
45,SR Tendulkar,,0.015748031496062992,3.0,2.0,1.0,0.0,127.0,0.016807918244135352,0.01578379884737847
46,SR Tendulkar,,0.008064516129032258,1.0,1.0,0.0,0.0,124.0,0.017237625981922206,0.015553838261537948
47,SR Tendulkar,,0.0,0.0,0.0,0.0,0.0,0.0,0.016512576314422957,0.015369895124844794
